cms_id,fyear,system,prov_type,own_type,cbsa,urban_rural
010005,2018,MARSHALL MEDICAL CENTERS,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010001,2018,,Short-Term,Hospital District or Authority,"Dothan, AL",Urban
010006,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Hospital District or Authority,"Florence-Muscle Shoals, AL",Urban
010007,2018,LHC GROUP,Short-Term,Private (Not For Profit),Rural Alabama,Rural
010008,2018,INMED GROUP  INC.,Short-Term,Private (For Profit),Rural Alabama,Rural
010011,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
053310,2016,,Childrens Hospitals,Private (Not For Profit),"Los Angeles-Long Beach-Glendale, CA",Urban
010012,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural Alabama,Rural
010016,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
010018,2018,UAB MEDICINE,Short-Term,Private (Not For Profit),"Birmingham-Hoover, AL",Urban
010019,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Florence-Muscle Shoals, AL",Urban
010021,2018,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010022,2018,,Short-Term,Private (Not For Profit),Rural Alabama,Rural
010023,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,"Montgomery, AL",Urban
010024,2018,,Short-Term,Private (Not For Profit),"Montgomery, AL",Urban
010029,2018,EAST ALABAMA MEDICAL CENTER HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Auburn-Opelika, AL",Urban
010032,2018,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010033,2018,UAB MEDICINE,Short-Term,State,"Birmingham-Hoover, AL",Urban
010034,2018,,Short-Term,Private (Not For Profit),"Montgomery, AL",Urban
010035,2018,,Short-Term,Hospital District or Authority,Rural Alabama,Rural
010036,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Rural Alabama,Rural
010038,2018,REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Private (For Profit),"Anniston-Oxford-Jacksonville, AL",Urban
010039,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,"Huntsville, AL",Urban
