cms_id,fyear,system,prov_type,own_type,urban_rural
010005,2018,MARSHALL MEDICAL CENTERS,Short-Term,Hospital District or Authority,Rural
010001,2018,,Short-Term,Hospital District or Authority,Urban
010006,2018,RCCH HEALTHCARE PARTNERS,Short-Term,Hospital District or Authority,Urban
010007,2018,LHC GROUP,Short-Term,Private (Not For Profit),Rural
010008,2018,INMED GROUP  INC.,Short-Term,Private (For Profit),Rural
010011,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),Urban
053310,2016,,Childrens Hospitals,Private (Not For Profit),Urban
010012,2018,QUORUM HEALTH CORPORATION,Short-Term,Private (For Profit),Rural
010016,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),Urban
010018,2018,UAB MEDICINE,Short-Term,Private (Not For Profit),Urban
010019,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010021,2018,,Short-Term,Hospital District or Authority,Rural
010022,2018,,Short-Term,Private (Not For Profit),Rural
010023,2018,BAPTIST HEALTH,Short-Term,Hospital District or Authority,Urban
010024,2018,,Short-Term,Private (Not For Profit),Urban
010029,2018,EAST ALABAMA MEDICAL CENTER HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010032,2018,,Short-Term,Hospital District or Authority,Rural
010033,2018,UAB MEDICINE,Short-Term,State,Urban
010034,2018,,Short-Term,Private (Not For Profit),Urban
010035,2018,,Short-Term,Hospital District or Authority,Rural
010036,2018,LIFEPOINT HEALTH,Short-Term,Private (For Profit),Rural
010038,2018,REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Private (For Profit),Urban
010039,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010040,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010045,2018,DCH HEALTH SYSTEM,Short-Term,Other,Rural
010044,2018,NORTH MISSISSIPPI MEDICAL CENTER SYSTEM,Short-Term,Private (Not For Profit),Rural
010046,2018,PRIME HEALTHCARE SERVICES,Short-Term,Private (For Profit),Urban
054028,2018,,Psychiatric Hospitals,Private (For Profit),Urban
010047,2017,IVY CREEK HEALTHCARE,Short-Term,Private (For Profit),Rural
010049,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Rural
010051,2018,,Short-Term,Local,Rural
010052,2018,IVY CREEK HEALTHCARE,Short-Term,Private (For Profit),Rural
010055,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010056,2018,ASCENSION HEALTH,Short-Term,Private (Not For Profit),Urban
493302,2018,,Childrens Hospitals,Private (Not For Profit),Urban
010058,2018,,Short-Term,Hospital District or Authority,Urban
010059,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010061,2018,JACKSON COUNTY HEALTH CARE AUTHORITY,Short-Term,Hospital District or Authority,Rural
010062,2018,,Short-Term,Private (Not For Profit),Urban
010065,2017,,Short-Term,Private (Not For Profit),Rural
010069,2017,,Short-Term,Hospital District or Authority,Rural
010073,2018,LHC GROUP,Short-Term,Hospital District or Authority,Rural
010078,2018,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER HEALTH SYSTEM,Short-Term,Local,Urban
010079,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010083,2018,COMMUNITY HEALTH SYSTEMS,Short-Term,Private (For Profit),Urban
010085,2018,HUNTSVILLE HOSPITAL HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010086,2017,CURAE HEALTH,Short-Term,Private (For Profit),Rural
010087,2018,UNIVERSITY OF SOUTH ALABAMA HEALTH SYSTEM,Short-Term,State,Urban
010089,2017,TENET HEALTHCARE,Short-Term,Private (Not For Profit),Urban
010090,2018,ASCENSION HEALTH,Short-Term,Church,Urban
010091,2018,,Short-Term,Hospital District or Authority,Rural
010092,2018,DCH HEALTH SYSTEM,Short-Term,Hospital District or Authority,Urban
010095,2018,,Short-Term,Hospital District or Authority,Urban
010097,2017,IVY CREEK HEALTHCARE,Short-Term,State,Urban
